Column1;Column2;Column3;Column4;Column6
Rank ;Movement;Player;;
1;-;Victor Wembanyama ;SA ;F,C
2;-;Shai Gilgeous-Alexander ;OKC ;G
3;-;Nikola Jokic ;DEN ;C
4;-;Luka Doncic ;LAL ;G
5;?1;Cooper Flagg ;DAL ;F
6;?1;Cade Cunningham ;DET ;G
7;-;Anthony Edwards ;MIN ;G,F
8;-;Tyrese Maxey ;PHI ;G
9;-;Jayson Tatum ;BOS ;F
10;-;Scottie Barnes ;TOR ;F
11;-;Jalen Johnson ;ATL ;F
12;NEW;Cameron Boozer ;MEM ;F
13;?1;Giannis Antetokounmpo ;MIA ;F,C
14;?1;Alperen Sengun ;HOU ;C
15;?1;Tyrese Haliburton ;IND ;G
16;?1;Amen Thompson ;HOU ;F
17;?5;Chet Holmgren ;OKC ;F
18;?1;Donovan Mitchell ;CLE ;G
19;?1;Trae Young ;WAS ;G
20;-;LaMelo Ball ;MIN ;G
21;-;Evan Mobley ;CLE ;F,C
22;?3;Devin Booker ;PHO ;G
23;?1;Jamal Murray ;DEN ;G
24;?10;Dylan Harper ;SA ;G
25;?1;Jalen Brunson ;NY ;G
26;?2;Deni Avdija ;POR ;F
27;NEW;AJ Dybantsa ;WAS ;G,F
28;?5;Jalen Williams ;OKC ;G,F
29;?2;Karl-Anthony Towns ;NY ;F,C
30;?2;Austin Reaves ;LAL ;G
31;?2;Trey Murphy ;NO ;F
32;NEW;Darryn Peterson ;UTA ;G
33;?8;Alex Sarr ;WAS ;F
34;?2;Josh Giddey ;CHI ;G,F
35;?1;Kon Knueppel ;CHA ;G,F
36;?5;Jalen Duren ;DET ;C
37;?7;Franz Wagner ;ORL ;G,F
38;?3;Brandon Miller ;CHA ;F
39;?1;Paolo Banchero ;ORL ;F
40;?7;Jaylen Brown ;PHI ;G,F
41;?4;Bam Adebayo ;MIA ;C
42;?3;Domantas Sabonis ;SAC ;F,C
43;?3;Jaren Jackson ;UTA ;F,C
44;?1;Desmond Bane ;ORL ;G
45;NEW;Caleb Wilson ;CHI ;F
46;?11;VJ Edgecombe ;PHI ;G
47;?2;Keyonte George ;UTA ;G
48;?6;Anthony Davis ;WAS ;F,C
49;?1;Dyson Daniels ;ATL ;G
50;?1;Lauri Markkanen ;UTA ;F
51;?4;Darius Garland ;LAC ;G
52;?6;Tyler Herro ;MIL ;G
53;?3;Jalen Suggs ;ORL ;G
54;?18;Walker Kessler ;LAL ;C
55;NEW;Darius Acuff ;SAC ;G
56;?4;Derrick White ;BOS ;G
57;?4;Donovan Clingan ;POR ;C
58;?14;De'Aaron Fox ;SA ;G
59;?2;Stephon Castle ;SA ;G
60;?4;Joel Embiid ;PHI ;C
61;?1;Matas Buzelis ;CHI ;F
62;?7;Michael Porter ;BKN ;F
63;?9;Stephen Curry ;GS ;G
64;?6;Pascal Siakam ;IND ;F
65;?3;Zach Edey ;MEM ;C
66;?7;Onyeka Okongwu ;ATL ;C
67;?19;Collin Murray-Boyles ;TOR ;F
68;?17;Kel'el Ware ;MIL ;C
69;?18;James Harden ;CLE ;G
70;?9;Kevin Durant ;HOU ;F
71;?16;Payton Pritchard ;BOS ;G
72;?6;Ausar Thompson ;DET ;F
73;?10;Ja Morant ;POR ;G
74;?19;Naz Reid ;CHA ;C
75;?11;Zion Williamson ;NO ;F
76;?8;Brandon Ingram ;TOR ;G,F
77;?11;Dejounte Murray ;NO ;G
78;?1;OG Anunoby ;NY ;G,F
79;NEW;Keaton Wagler ;LAC ;G
80;?13;Mikal Bridges ;NY ;G,F
81;?7;Kyrie Irving ;DAL ;G
82;?7;Nickeil Alexander-Walker ;ATL ;G
83;?7;Jarrett Allen ;CLE ;C
84;?4;Ryan Rollins ;MIL ;G
85;?2;Kawhi Leonard ;LAC ;G,F
86;NEW;Mikel Brown ;BKN ;G
87;?5;Cedric Coward ;MEM ;G
88;?17;Coby White ;CHA ;G
89;?19;Immanuel Quickley ;TOR ;G
90;NEW;Brayden Burries ;MIL ;G
91;NEW;Kingston Flemings ;ATL ;G
92;?19;Ace Bailey ;UTA ;F
93;?24;Derik Queen ;NO ;C
94;?23;Julius Randle ;BKN ;F
95;?17;Ivica Zubac ;IND ;C
96;?5;Jaden McDaniels ;MIN ;F
97;?32;Reed Sheppard ;HOU ;G
98;?14;Jalen Green ;PHO ;G
99;?20;Myles Turner ;MIL ;C
100;?3;Jeremiah Fears ;NO ;G
101;?12;Jabari Smith ;HOU ;F
102;?21;Kyshawn George ;WAS ;G
103;?8;Egor Demin ;BKN ;G
104;?11;Peyton Watson ;DEN ;F
105;?2;Ajay Mitchell ;OKC ;G
106;NEW;Aday Mara ;OKC ;C
107;?1;Nic Claxton ;CHI ;C
108;?12;Isaiah Hartenstein ;OKC ;C
109;?11;Miles Bridges ;PHO ;F
110;?18;Mark Williams ;PHO ;C
111;?21;Anthony Black ;ORL ;G
112;?1;Jaime Jaquez ;MIL ;F
113;?11;Josh Hart ;NY ;G,F
114;?14;Keegan Murray ;SAC ;F
115;NEW;Morez Johnson ;DAL ;F
116;?7;RJ Barrett ;TOR ;G,F
117;?16;Bennedict Mathurin ;LAC ;G,F
118;?14;Norman Powell ;CHI ;G
119;?25;Scoot Henderson ;POR ;G
120;?1;Toumani Camara ;POR ;F
121;?10;Tari Eason ;HOU ;F
122;NEW;Yaxel Lendeborg ;GS ;F
123;?22;Ayo Dosunmu ;MIN ;G
124;?4;Maxime Raynaud ;SAC ;F,C
125;?8;Collin Gillespie ;PHO ;G
126;NEW;Ebuka Okorie ;DET ;G
127;?6;Rudy Gobert ;MIN ;C
128;?14;Andrew Nembhard ;IND ;G
129;?26;Jaylon Tyson ;CLE ;G
130;?22;Tre Johnson ;WAS ;G
131;?7;Cason Wallace ;OKC ;G
132;?22;Santi Aldama ;DAL ;F
133;NEW;Allen Graves ;TOR ;F
134;?18;Devin Vassell ;SA ;G
135;?13;Bilal Coulibaly ;WAS ;F
136;?37;Shaedon Sharpe ;POR ;G
137;?14;Brandin Podziemski ;GS ;G
138;?13;Derrick Lively ;DAL ;C
139;NEW;Cameron Carr ;LAL ;G,F
140;NEW;Hannes Steinbach ;CHA ;F,C
141;?23;Kevin Porter ;MIL ;G
142;?15;Kristaps Porzingis ;GS ;F,C
143;?14;Kyle Filipowski ;UTA ;C
144;?2;Fred VanVleet ;HOU ;G
145;?19;Zach LaVine ;SAC ;G,F
146;?7;Wendell Carter ;ORL ;C
147;?3;Ty Jerome ;MEM ;G
148;?20;Andrew Wiggins ;MIA ;F
149;?11;Saddiq Bey ;NO ;F
150;?28;Joan Beringer ;MIN ;C
151;?17;Moussa Diabate ;CHA ;F,C
152;?21;LeBron James ;FA ;F
153;?17;Quentin Grimes ;LAL ;G
154;?22;Damian Lillard ;POR ;G
155;?18;Jrue Holiday ;POR ;G
156;?23;P.J. Washington ;DAL ;F
157;?32;Day'Ron Sharpe ;BKN ;C
158;?2;John Collins ;DET ;F
159;?5;Kasparas Jakucionis ;MIL ;G
160;?2;Neemias Queta ;BOS ;C
161;?18;Daniel Gafford ;DAL ;F,C
162;?32;Aaron Gordon ;DEN ;F
163;?21;Christian Braun ;DEN ;G
164;?7;Khaman Maluach ;PHO ;C
165;?12;Jared McCain ;OKC ;G
166;?31;Ryan Kalkbrenner ;CHA ;C
167;?7;Will Riley ;WAS ;F
168;?28;CJ McCollum ;ATL ;G
169;?18;Cam Spencer ;MEM ;G
170;?18;Pelle Larrson ;MIA ;G,F
171;?33;Hugo Gonzalez ;BOS ;G,F
172;?22;Jakob Poeltl ;TOR ;C
173;NEW;Labaron Philon ;PHI ;G
174;?10;Paul George ;BOS ;F
175;?14;Herbert Jones ;NO ;F
176;?21;Davion Mitchell ;MIA ;G
177;?28;Dillon Brooks ;PHO ;G
178;?66;Deandre Ayton ;WAS ;C
179;?38;Thomas Sorber ;OKC ;C
180;NEW;Sergio De Larrea ;DAL ;G
181;?29;Cameron Johnson ;DEN ;F
182;?23;Tobias Harris ;SA ;F
183;?10;Kelly Oubre ;IND ;F
184;?4;Scotty Pippen ;MEM ;G
185;?22;Naji Marshall ;DAL ;F
186;NEW;Dailyn Swain ;CHI ;F
187;NEW;Christian Anderson ;CHA ;G
188;?40;DeMar DeRozan ;FA ;G,F
189;?11;Sandro Mamukelashvili ;LAL ;F,C
190;?13;Dylan Cardwell ;SAC ;C
191;?7;Nikola Topic ;OKC ;G
192;?27;Max Christie ;DAL ;G
193;?31;Walter Clayton ;MEM ;G
194;?1;Gui Santos ;GS ;F
195;?27;Ron Holland ;DET ;F
196;?26;Jimmy Butler ;GS ;F
197;?31;Aaron Nesmith ;IND ;F
198;?27;Grayson Allen ;CHA ;G,F
199;?32;Malik Monk ;SAC ;G
200;?19;Anfernee Simons ;PHI ;G
201;?14;Nique Clifford ;SAC ;G,F
202;?18;Bobby Portis ;MIA ;F
203;?13;Jonathan Kuminga ;FA ;F
204;NEW;Bennett Stirtz ;OKC ;G
205;?26;Collin Sexton ;LAL ;G
206;?30;Danny Wolf ;BKN ;C
207;NEW;Nate Ament ;MIL ;F
208;NEW;Chris Cenac ;BOS ;F,C
209;?34;De'Andre Hunter ;SAC ;F
210;?41;Isaiah Stewart ;MEM ;C
211;?17;Jaylen Wells ;MEM ;F
212;?28;Noah Clowney ;BKN ;F
213;?66;Nikola Vucevic ;ORL ;C
214;?31;Keldon Johnson ;SA ;F
215;?38;Julian Champagnie ;SA ;F
216;?21;Tristan da Silva ;ORL ;F
217;NEW;Meleek Thomas ;CLE ;G
218;?46;Hansen Yang ;POR ;C
219;?17;Jay Huff ;IND ;C
220;?46;Carlton Carrington ;WAS ;G
221;NEW;Karim Lopez ;MEM ;F
222;?6;Yves Missi ;NO ;C
223;?41;Isaiah Collier ;UTA ;G
224;?18;Jarace Walker ;IND ;F
225;?34;De'Anthony Melton ;GS ;G
226;?41;Jerami Grant ;MEM ;F
227;?1;Nikola Jovic ;MIA ;F
228;?19;Ja'Kobe Walter ;TOR ;G
229;?2;Mitchell Robinson ;BOS ;C
230;?2;Isaiah Joe ;DET ;G
231;?35;Zaccharie Risacher ;DAL ;F
232;?33;Tre Jones ;CHI ;G
233;NEW;Jayden Quaintance ;SA ;C
234;-;Aaron Wiggins ;ATL ;G,F
235;?30;Jamal Shead ;TOR ;G
236;?29;Noa Essengue ;CHI ;F
237;NEW;Tarris Reed ;SA ;C
238;?46;Jalen Smith ;CHI ;F
239;?28;Keon Ellis ;BKN ;G
240;?23;Jordan Goodwin ;PHO ;G
241;?55;Moses Moody ;GS ;G
242;?19;Jaylin Williams ;OKC ;C
243;NEW;Bogoljub Markovic ;MIL ;F
244;?30;Goga Bitadze ;ORL ;C
245;?6;Robert Williams ;POR ;C
246;?4;Alex Caruso ;OKC ;G
247;?21;Rui Hachimura ;LAC ;F
248;?51;Donte DiVincenzo ;MIN ;G
249;?25;Nolan Traore ;BKN ;G
250;?35;Jase Richardson ;ORL ;G
251;?41;Miles McBride ;NY ;G
252;?7;Carter Bryant ;SA ;F
253;?35;Robert Dillingham ;CHI ;G
254;NEW;Alex Karaban ;SAC ;F
255;NEW;Ryan Conwell ;MIA ;G
256;NEW;Ousmane Dieng ;MIL ;F
257;?44;Jake LaRavia ;LAL ;F
258;?29;Kyle Kuzma ;MIL ;F
259;?11;Yanic Konan Niederhauser ;LAC ;F,C
260;?20;Oso Ighodaro ;PHO ;F
261;?15;Jusuf Nurkic ;UTA ;C
262;?61;Draymond Green ;GS ;F,C
263;?10;Bones Hyland ;MIN ;G
264;?7;Gradey Dick ;TOR ;G
265;?57;Jordan Poole ;NO ;G
266;NEW;Zuby Ejiofor ;ATL ;F
267;?55;Brice Sensabaugh ;UTA ;F
268;?49;Sam Merrill ;CLE ;G
269;?33;Daniss Jenkins ;DET ;G
270;?48;Dominick Barlow ;PHI ;F
271;?13;Rasheer Fleming ;PHO ;F
272;?22;Obi Toppin ;IND ;F
273;?30;Will Richard ;GS ;G
274;?41;Marcus Smart ;HOU ;G
275;NEW;Koa Peat ;PHO ;F
276;?51;Asa Newell ;ATL ;F
277;?56;Luke Kornet ;SA ;C
278;?15;Quinten Post ;MEM ;C
279;?11;Jordan Miller ;LAC ;F
280;?33;Luguentz Dort ;ATL ;G,F
281;?22;Duncan Robinson ;DET ;G,F
282;?1;Precious Achiuwa ;SAC ;F,C
283;?19;Jordan Walsh ;BOS ;F
284;?46;Royce O'Neale ;CHA ;F
285;?34;AJ Green ;MIL ;G
286;NEW;Ron Harper ;BOS ;F
287;?15;Sam Hauser ;BOS ;F
288;?47;Adem Bona ;PHI ;F,C
289;?24;Daeqwon Plowden ;SAC ;G,F
290;?28;Taylor Hendricks ;MEM ;F
291;NEW;Bruce Thornton ;HOU ;G
292;?40;Dru Smith ;MIA ;G
293;?44;Luke Kennard ;PHO ;G
294;?38;Dennis Schroder ;CLE ;G
295;?29;Justin Champagnie ;WAS ;F
296;?61;T.J. McConnell ;IND ;G
297;?2;Mohamed Diawara ;NY ;F
298;?44;Ziaire Williams ;LAL ;F
299;NEW;Dean Wade ;PHI ;F
300;NEW;Emanuel Sharp ;SAC ;G
301;?5;Gary Trent ;MIL ;G
302;?56;Kris Dunn ;LAC ;G
303;?17;Corey Kispert ;ATL ;F
304;?33;Tim Hardaway ;MIA ;G,F
305;?36;Sion James ;CHA ;G
306;NEW;Adou Thiero ;LAL ;F
307;?42;Jock Landale ;ATL ;C
308;?64;Ryan Dunn ;PHO ;G,F
309;?72;Isaiah Jackson ;LAC ;F,C
310;?25;Max Strus ;CLE ;F
311;?33;Jose Alvarado ;NY ;G
312;NEW;Isaiah Evans ;MIN ;G,F
313;?14;Terrence Shannon ;MIN ;G
314;?44;Khris Middleton ;WAS ;F
315;?40;Derrick Jones ;LAC ;F
316;?7;Liam McNeeley ;CHA ;F
317;NEW;Landry Shamet ;NY ;G
318;?7;Klay Thompson ;DAL ;G,F
319;?59;Devin Carter ;ATL ;G
320;?89;Russell Westbrook ;FA ;G
321;;;;
322;;;;
323;;;;
;;;;
;;;;
